subscriber_id,site_id,site_name,site_group_name,site_type,maf_number,lat,lon,landowner_id,trading_name,contract_name
34,34810,Home Paddock,Queen Rearing,BREEDING,,-39.924833,175.276322,4232,,Ngati Apa
34,34796,Horse Shoe,Queen Rearing,BREEDING,,-39.874133,175.331697,4232,,Ngati Apa
34,32622,Koriniti Hut,Ruapirau,PERMANENT,,-39.68838,175.15379,6466,,Ruapirau Station
34,27731,Kuratau 1,Omori,PERMANENT,,-38.88509,175.75514,6091,,Wallace
34,24999,Kuratau River,Omori,PERMANENT,,-38.885182,175.757972,6091,,Wallace
34,34805,L4,Queen Rearing,BREEDING,,-39.955067,175.299128,4232,,Ngati Apa
34,14903,lismore 1,Lismore,WINTERING,,-39.82384,175.24671,,,
34,11967,lismore 2,Lismore,WINTERING,,-39.82473,175.24941,,,
34,25085,Mangaone 2km,Lismore,WINTERING,,-39.84033,175.19145,4232,,Ngati Apa
34,25086,Mangaone 2km B,Lismore,WINTERING,,-39.8433,175.19192,4232,,Ngati Apa
34,11949,Mangaone 4.5km,Lismore,WINTERING,,-39.83555,175.21827,4232,,Ngati Apa
34,11882,Mangaone 7.5km,Lismore,WINTERING,,-39.82936,175.24418,4232,,Ngati Apa
34,14463,Mangaone 7km,Lismore,WINTERING,,-39.83228,175.24083,4232,,Ngati Apa
34,11952,Mangaone 8km,Lismore,WINTERING,,-39.82145,175.23981,4232,,Ngati Apa
34,29165,Mochan 1,Makakahi,WINTERING,323,-39.37273,175.2724,6490,,Danny Mochan
34,17497,Ngapoki,Te Pa,WINTERING,134,-39.51537,175.36002,1384,Tepa Station,AWHI - Hamish
34,14595,Ngaporo Huikumu rd,Ngaporo,PERMANENT,77,-39.44856,175.13083,1396,,Ngaporo Trust
34,18871,Ngaporo Kaitara ext rd,Ngaporo,PERMANENT,177,-39.438371,175.05071,,,
34,18008,Ngaporo Ridge Top,Ngaporo,PERMANENT,149,-39.430636,175.185961,,,
34,3770,Ngaporo (Waipuna Hill),Ngaporo,HONEY,76,-39.43894,175.18469,,,
34,34812,Ngati Apa Rd 1,Queen Rearing,BREEDING,,-39.989689,175.107403,4232,,Ngati Apa
34,34813,Ngati Apa Rd 2,Queen Rearing,BREEDING,,-39.99105,175.111058,4232,,Ngati Apa
34,34806,Northern End,Queen Rearing,BREEDING,,-39.952883,175.29595,4232,,Ngati Apa
34,15963,Oho Heli 1,Ohorea Heli,HONEY,96,-39.56292,175.30882,1389,Ohorea Station,AWHI - Rex Martin
34,15964,Oho Heli 2,Ohorea Heli,HONEY,,-39.56846,175.30194,1389,Ohorea Station,AWHI - Rex Martin
34,15970,Oho Heli 3,Ohorea Heli,HONEY,,-39.58033,175.32314,1389,Ohorea Station,AWHI - Rex Martin
34,27720,oho heli 3.5,Ohorea Heli,HONEY,,-39.58042,175.31714,1389,Ohorea Station,AWHI - Rex Martin
34,15968,Oho Heli 4,Ohorea Heli,HONEY,97,-39.56097,175.33763,1389,Ohorea Station,AWHI - Rex Martin
34,15969,Oho Heli 5,Ohorea Heli,HONEY,,-39.56261,175.34052,1389,Ohorea Station,AWHI - Rex Martin
34,17136,Oho Heli 6,Ohorea Heli,HONEY,98,-39.56396,175.37012,1389,Ohorea Station,AWHI - Rex Martin
34,15972,Oho Heli 7A,Ohorea Heli,HONEY,,-39.55263,175.35452,1389,Ohorea Station,AWHI - Rex Martin
34,15973,Oho Heli 7B,Ohorea Heli,HONEY,99,-39.55263,175.35528,1389,Ohorea Station,AWHI - Rex Martin
34,15958,Oho Honey 1,Ohorea Honey sites,HONEY,164,-39.5451,175.29971,1389,Ohorea Station,AWHI - Rex Martin
34,15976,Oho Honey 10,Ohorea Honey sites,HONEY,100,-39.54171,175.35017,1389,Ohorea Station,AWHI - Rex Martin
34,15977,Oho Honey 11,Ohorea Honey sites,HONEY,,-39.54088,175.35356,1389,Ohorea Station,AWHI - Rex Martin
34,3786,Oho Honey 12,Ohorea Honey sites,HONEY,101,-39.5455,175.35077,1389,Ohorea Station,AWHI - Rex Martin
34,3787,Oho Honey 13,Ohorea Honey sites,HONEY,102,-39.54897,175.36214,1389,Ohorea Station,AWHI - Rex Martin
34,3788,Oho Honey 14,Ohorea Honey sites,HONEY,103,-39.54531,175.36244,1389,Ohorea Station,AWHI - Rex Martin
34,15974,Oho Honey 15,Ohorea Honey sites,HONEY,104,-39.55079,175.36637,1389,Ohorea Station,AWHI - Rex Martin
34,15975,Oho Honey 16,Ohorea Honey sites,HONEY,,-39.54797,175.36742,1389,Ohorea Station,AWHI - Rex Martin
34,15982,Oho Honey 17,Ohorea Honey sites,HONEY,105,-39.54224,175.36502,1389,Ohorea Station,AWHI - Rex Martin
34,15983,Oho Honey 18,Ohorea Honey sites,HONEY,106,-39.54235,175.36872,1389,Ohorea Station,AWHI - Rex Martin
34,15979,Oho Honey 19,Ohorea Honey sites,HONEY,228,-39.53936,175.36433,1389,Ohorea Station,AWHI - Rex Martin
34,15960,Oho Honey 2,Ohorea Honey sites,HONEY,,-39.542,175.266,1389,Ohorea Station,AWHI - Rex Martin
34,15981,Oho Honey 20,Ohorea Honey sites,HONEY,107,-39.5364,175.37662,1389,Ohorea Station,AWHI - Rex Martin
34,15967,Oho Honey 3,Ohorea Honey sites,HONEY,108,-39.56708,175.28529,1389,Ohorea Station,AWHI - Rex Martin
34,15966,Oho Honey 4,Ohorea Honey sites,HONEY,109,-39.56754,175.2924,1389,Ohorea Station,AWHI - Rex Martin
34,15961,Oho Honey 5,Ohorea Honey sites,HONEY,110,-39.55789,175.2988,1389,Ohorea Station,AWHI - Rex Martin
34,3789,Oho Honey 7,Ohorea Honey sites,HONEY,111,-39.55274,175.3432,1389,Ohorea Station,AWHI - Rex Martin
34,3790,Oho Honey 8,Ohorea Honey sites,HONEY,112,-39.55733,175.3448,1389,Ohorea Station,AWHI - Rex Martin
34,18329,Oho Honey 8.5,Ohorea Honey sites,HONEY,113,-39.55868,175.34886,1389,Ohorea Station,AWHI - Rex Martin
34,15971,Oho Honey 9,Ohorea Honey sites,HONEY,233,-39.57403,175.35229,1389,Ohorea Station,AWHI - Rex Martin
